sentence,intent
Đúng roi nha,agree
Vâng cảm ơn shop rất nhiều,thank
bạn ơi nôi đưa cao cấp sg237p hôm trc mình hỏi ấy,query_knowledge_base
nvien hay bot vậy?,ask_is_bot
"Alo
B oi",greet
b ơi báo giá mình xe đẩy 2 chiều,query_knowledge_base
Shop oi c,greet
vâng cũng đc ạ,agree
"Vâng, giao về địa chỉ cũ",agree
Hú b ơi,greet
Mình đang muốn xem xe vovo 2 chiều. Xe có sẵn ở shop k ạ?,query_knowledge_base
Vâng ạ. Thanks shop,thank
Xe đẩy bé vịn tự đẩy đi chứ ko phải loại xe ngồi đẩy này ạ,disagree
ừa okie b,agree
Mình cảm ơn shop và bạn shipper nhé,thank
alo ak,greet
Ok cám ơn sh nhiều nhé 😘,thank
bạn ơi nhà m có bán thanh chắn giường kích thước 1 8 2m k nhỉ,query_knowledge_base
K phai cái này Shop ơi,disagree
Alo c ơ8,greet
"Vâng ạ, do mình để trong kho lâu rồi, giờ ngại lôi ra quá, huhu",agree
"Uh đúng rồi , phụ nữ nào có con rồi cũng đều quan tâm đến mấy cái này",agree
mình lấy 1 cốc uống nc richell,query_knowledge_base
Vâng. Đang háo hức xe quá,agree
tủ của nước nào vậy b? có bh k vậy?,query_knowledge_base
bạn máy tạo ẩm khuyên tán tinh dầu của nước nào hả bạn?,query_knowledge_base
"ok b à, cảm ơn nhé",thank
ừa 😂,agree
shop ơiiiiiiiiiiiiii,greet
"Cảm ơn shop, cần dùng gì mình sẽ liên hệ tiếp",thank
Còn màu ghi xám ko b,query_knowledge_base
:))) vâng. Ok c ah,agree
Sao e ko thích cái khay nó tối màu,disagree
Ok cảm ơn b nhaa,thank
chatbot a shop oi?,ask_is_bot
Vâng e cảm ơn shop ^^,thank
T ko thích màu cam này lắm,disagree
Hi b oi,greet
Alo lô a,greet
Thank shoo,thank
chứ k phải lớp,disagree
Oki thanks shop.,thank
mà joie cũng sxuat tai tquoc ha b oi,query_knowledge_base
Ko phải cái đó bạn,disagree
Cám ơn b. Để mình tham khảo,thank
Vâng cùng địa chỉ ạ,agree
Ok shop. Mình cảm ơn nhiều,thank
Tủ lạnh mini này giá bnhieu vậy s?,query_knowledge_base
Hì c,greet
HI shop,greet
ALO shop,greet
thế mamago thì là loại nào b,query_knowledge_base
"Vâng, oki c. Để e đặt qua shopee",agree
alo Bạn ơi,greet
cho mình hỏi giá cầu trượt và xích đu này nhé,query_knowledge_base
nvien hay bot?,ask_is_bot
May co bao hanh chih hang k b,query_knowledge_base
Cảm ơn c đã tư vấn nhiệt tình ak!!!,thank
trọng lượng tối đa của sp là bao nhiêu nhỉ,query_knowledge_base
Alo e uii,greet
alô,greet
À cam on shop,thank
"ừa,",agree
có đc giảm giá k ạ,query_knowledge_base
"Ok , thanks shop",thank
Alo shop ơi :(,greet
alo c,greet
2 mau nay minh deu k thich,disagree
Ok shop. Mình cảm ơn nha,thank
đúng rồi mình vừa gọi cho bạn,agree
Có phải chatbot ko?,ask_is_bot
chatbot à shop ơi?,ask_is_bot
mẫu này mình thấy rồi nhưng ko thích,disagree
Minh đat 1 mieng 2m vs 1 mieng 1.8 nhe shop,query_knowledge_base
ko phải dát thanh,disagree
Cho t xem hình và màu nhé,query_knowledge_base
Da vâng oki c,agree
Alo b oiw,greet
Vâng. Lát em qua shop xem luôn ạ,agree
Ghi xanh mình lại k thích lắm,disagree
"ok shop, mình cảm ơn nhé",thank
Ok shop ship cho mình nhé!Mình cảm ơn!,thank
bot à sh ơi?,ask_is_bot
bên b còn xích đu mastela,query_knowledge_base
Nhưng kích thươc k phải 2 vuông,disagree
Hi hi,greet
auto rep à sh?,ask_is_bot
Mình cám ơn. Chiều nay vc mình qua ạ,thank
Shop có quây bóng k ạ,query_knowledge_base
M cảm ơn :D,thank
Vâng tks b nhé,agree
tu dong tra loi?,ask_is_bot
Aloo aloooo,greet
Mình cảm ơn nhé. Còn đủ màu nhỉ,thank
M k thích hai màu đó lams,disagree
hi chị ơi,greet
bạn oiw,greet
Dạ e cảm ơn c ạ.,thank
"à, vậy cám ơn shop nhe",thank
Thank. Chi,thank
2 xe này xuất xứ đều ở tq à b,query_knowledge_base
shop ơi!!! hizz,greet
Alo chị ơiiiii,greet
Vâng . Ok c,agree
Alo shop ơi...,greet
À vâng ok shop,agree
shop oi bot hay nvien vay ah,ask_is_bot
K đc b ạ,disagree
Nhân viên shop hay gì thế?,ask_is_bot
chatbot hay nhan vien vay?,ask_is_bot
Chứ ko phai ghế sau,disagree
Em cảm ơn các Chị,thank
Mình lấy xe tập đi nhé,query_knowledge_base
Vâng. Hi,agree
hi b,greet
mẫu này giá bn v ạ,query_knowledge_base
à shop oi,greet
cả 3 loại đều xuất xứ vậy ạ?,query_knowledge_base
Tính cả chỗ cầu trượt,query_knowledge_base
vâng hi,agree
Vâng Shop.,agree
E bé gái k thích màu xanh ạ,disagree
Ali b ơi,greet
Alo shop??,greet
tiệt trùng sấy khô fazt là sx tại nước nào ạ.,query_knowledge_base
Con thú nhún bn b,query_knowledge_base
Cho m hỏi thảm này chất liệu gì?,query_knowledge_base
Da dung roi ah,agree
vâng oke c ạ,agree
M xem rùi lại ko thích mấy hình này,disagree
Vâng. Để m đọc kỹ lại.,agree
Oh ! Cám ơn shop,thank
Có Shop oi,greet
shop de auto tra loi a,ask_is_bot
vâng ạ 😞,agree
Dạ e lại k muốn mua màu vàng,disagree
K phải cầu trượt bạn ơi,disagree
Hi chào shop,greet
Vâng ạ tại mình chờ mãi k thấy ai gọi,agree
K phải cái nắp vàng đâu b. Mà cái van ý,disagree
Đúng rồi ahop,agree
xe này thì mấy tuổi ngồi đc a,query_knowledge_base
Loại này m k thích ạ,disagree
E oi chi cảm ơn nhé,thank
Bóng bên mình là nhựa thế nao nhi,query_knowledge_base
dạ. vậy em cảm ơn ạ,thank
"shop ơi tủ lạnh mini nặng khoảng bao nhiêu kg nhỉ, cắm vào xe ntn vậy?",query_knowledge_base
À rồi. Cảm ơn b,thank
Ah vâng e hỏi cũng lâu lâu r ạ :”>,agree
Hi thanks,thank
K phải máy tạo ẩm,disagree
Sh cho mình xin giá tủ này với nhé,query_knowledge_base
vâng để tớ xem nhé,agree
Alooooooooo,greet
"Vâng, ok ạ.",agree
Aloooo b ơiii,greet
Alo sh oi,greet
cho t hỏi giá xe đẩy vovo 2 chiều,query_knowledge_base
Alo ako,greet
Vâng mình bảo mẹ rồi,agree
Cho minh xin giá bộ quây và các sz với ạ,query_knowledge_base
Vâng thì e vẫn phải dùng thôi,agree
Vâng. Tks chị,agree
vâng ạ :),agree
Mình k thích gắn hoa hoét lên,disagree
Ủa B ơi,greet
"Đúng rồi shop, chiều tối qua m mới nhận đc.",agree
K phải tháng 9,disagree
"Okie, cảm ơn bạn nhé",thank
Cho e xem mẫu thảm vs ak,query_knowledge_base
Alooo shop oi,greet
Hi n,greet
bạn cho mình xem ảnh với,query_knowledge_base
K thích con mặt đỏ đỏ kia đâu,disagree
ban oi cai nay sản xuất ớ đâu vay ?,query_knowledge_base
Vâng để e xem rồi báo lại nhed,agree
Em cam on shop ah,thank
công nghệ nhật nhưng sản xuất ở nước nào ạ?,query_knowledge_base
Vâng oki chị ạ,agree
Dạ. Cám ơn ạ,thank
Vâng e cũng k cần luôn,agree
vâng tks shopp,agree
B oi2,greet
mk dang chat voi ng hay chatbot the,ask_is_bot
Ơ bạn ơi @@,greet
Okie. Thanks shop nhe,thank
Chất liệu bằng j hả bạn??,query_knowledge_base
alo shop ưi,greet
aloooooo,greet
Cũng cao 65cm giống toys house ạ?,query_knowledge_base
em ơi!,greet
b ơi xe tập đi winfun còn giảm giá 550k nữa kh b,query_knowledge_base
alo ah,greet
Bạn Bond màu hồng hay màu xanh ko?,query_knowledge_base
"Xanh đậm, ko phải xanh dương",disagree
Oki thank kiu shop nhé,thank
Mình tìm trên shopee ko thấy có sản phẩm này,query_knowledge_base
Vâng 2 thanh,agree
Uh để mình xem nhé. Mình cám ơn!,thank
Chiều cao khung là bn nhỉ,query_knowledge_base
Màu nào a?,query_knowledge_base
k phai la minh k lay tham tang kem,disagree
Ừ đúng rồi,agree
Chị ơiiii,greet
Vâng về địa chỉ ý,agree
Alo ship,greet
Mik ko thích kiểu vậy,disagree
Ok mình cám ơn nhièu nhé,thank
gh  nặng bn kg c ơi,query_knowledge_base
Dạ vâng e cám ơn. Có j e pm lại ah,thank
Alo ạ???,greet
Alo shop ơiiii,greet
Dạ vâng đúng ạ,agree
Đúng rối,agree
b ơi????,greet
Ok thanks shop !,thank
Dạ đúng rồi bạn,agree
Chi ui,greet
Ok cám ơn bann,thank
hị hị,greet
Alo b oie,greet
ừa đang tính thế,agree
"Dung roi ban , minh can bảo hành",agree
Đúng rồi b ạ.,agree
Vẫn đag sale hả b,query_knowledge_base
Ko phải thảm như hôm c mua đâu nhé,disagree
bn c oi,greet
"À,cám ơn shop nhe. Để mình tínb lại",thank
auto tra loi ah,ask_is_bot
Con may hut sua ah,query_knowledge_base
Mầu này mình k thích,disagree
Alo gấp,greet
Ok shop cảm ơn shop nhé,thank
M k thích góc vuông đâu,disagree
ah ko phải thiếu bạn ơi,disagree
Alo e ơi,greet
Chị ơiiiiii,greet
Đúng rồi e nhé,agree
UHM ĐÚNG RỒI,agree
Vậy thôi mình cám ơn nha,thank
Dù sao thì mình cũng xin cảm ơn!,thank
Vâng ok c ạ,agree
Nhung bạn oi,greet
CHị oi,greet
OK bạn!  Cảm ơn bạn nhé,thank
hi c,greet
aloooo bạn ơi,greet
Shop để trả lời tự động à?,ask_is_bot
dạ cám ơn shop nha. mai mình chụp hình feedback cho shop nha,thank
Có màu kh ko shop hay chỉ có 1 màu vậy,query_knowledge_base
Cảm ơn shop à để mình xem nha,thank
Shop dùng chatbot à?,ask_is_bot
Alo Alo.,greet
Alo chị,greet
dạ vâng thế thôi cũng đc ạ,agree
Hello bạn oi,greet
Alo blo clo,greet
mà ko phải loại cầm tay,disagree
m cam on nhe!,thank
Alo bn ợ,greet
Cam on shop ah,thank
Alooioo,greet
tra loi tu dong a shop?,ask_is_bot
Ah cam ổn e,thank
Ko phải thanh chắn giường,disagree
Uhm đúng rồi nôi nâu đấy b,agree
Hi b ơi,greet
"Ok cám ơn sh, phiền sh nhé",thank
ừ c,agree
"Dung dc đên 2,3 tuôi b nhỉ",query_knowledge_base
Huhu shop ơi,greet
Alo. Shop ơi.,greet
Ah ko phải,disagree
"Vâng, e biết tính roi a",agree
sx tại trung quốc hà,query_knowledge_base
"Khong phai, mình kh nói màu, mình nói mẫu",disagree
chiều nganh của giường là bao nhiêu cm vậy ạ  để e xem có vừa chỗ để k ạ,query_knowledge_base
Hồng thì Ko đc,disagree
vâng shop👍🏻👍🏻,agree
hi shop hihi,greet
combi là của nước nào b nhỉ,query_knowledge_base
"Alo, shop ơi!",greet
uh bạn ơi,greet
Vâng để e tính ạ,agree
ừ nhà mình kín ạ,agree
n ơi,greet
hai xe được sx tại đâu c,query_knowledge_base
hi e,greet
Alo!!!!!,greet
Ko phải thanh chắn cửa em ơi,disagree
Chất liệu gì vậy b,query_knowledge_base
cậu oie,greet
Dạ.vâng ạ,agree
Thoi minh k thich con nay,disagree
Ko phải tập hút,disagree
Cám ơn shop../),thank
thế e cảm ơn ạ,thank
"Đúng rồi, sx sẽ có xác suất lỗi",agree
Ok...cảm ơn shop ạk,thank
Thanks shop nje,thank
cái này là sx nc nào à b,query_knowledge_base
V thoi cung dc ạ cảm on shop nay giờ tư vấn ạ e k mua ạ e cảm on shop ạ,thank
Uh đúng rồi b ah,agree
Chi oi ?,greet
Tớ ko thích màu hồng,disagree
chu e k thich hồng nhiu nhu hình,disagree
cám ơn b nh,thank
Ok shop. Cảm ơn b,thank
Alo ahop ơi,greet
c ơi bên m có sẵn nhiệt kế đo trán của hãng nào ạ,query_knowledge_base
E cảm ơn nhìu,thank
cam on shop mjnh se xem,thank
Haha vâng chị,agree
Alo dhop oi,greet
Vâng. Có j  m báo sh ạ,agree
Thế minh cam ơn nhé.,thank
Àh vâng,agree
Nặng bn bạn?,query_knowledge_base
b ơi có xe tập đi ko,query_knowledge_base
vâng oke c có gì e sẽ theo dõi ạ,agree
Shopw ơi,greet
May hay nguoi vay shop?,ask_is_bot
Vang thanks shop ah,thank
BAN OI,greet
gh  ngồi đc đ n mấy tuổi  nhỉ,query_knowledge_base
Chứ k phải cắm sạc ah,disagree
À vâng ok ạ,agree
Đúng rồi b nhé,agree
"Alo shop
Ơi",greet
Nặng bn kg ạ,query_knowledge_base
Mình nhận được hàng rồi. Cám ơn shop nhé,thank
Hi Hi,greet
Cho e lấy 1 cốc này,query_knowledge_base
Ok. Cám ơn bạn nha. Mình sẽ tham khảo.,thank
SHOP ơi,greet
nhan vien hay bot vay,ask_is_bot
auto trả lời à?,ask_is_bot
Nvien hay bot,ask_is_bot
shop ơi mình thấy shop đăng cái ghế teknum ah ghế đó của nước nào vậy?,query_knowledge_base
Cám ơn shop nhê để mình đặt hàng ^^,thank
vâng sj,agree
Tớ k thích chấm bi đỏ,disagree
dạ đúng rồi ạ.,agree
Chân thành cam on các chị lắng nghe em chia sẻ,thank
Mẫu tuần lộc thì e ko thích lắm,disagree
Ko phait bằng điện ah,disagree
Bé 3 tuổi là ngồi lên đc hả shop,query_knowledge_base
Hi s,greet
Okie. Cảm ơn bạn nha!!,thank
ok m cảm ơn nha,thank
Hi Shop,greet
ghế này của nước nào vậy?,query_knowledge_base
Vâng mh xin lỗi nhé,agree
Màu navy thì ko thích lắm,disagree
hi chị,greet
"okie bạn bên hãng đã gọi cho mình, cảm ơn bạn nhiều nhé",thank
ko phai tham khảo giá,disagree
Vs mình muốn mua thêm bình tập uống nước cho bé,query_knowledge_base
ừ đúng rùi,agree
Da em cám ơn shop ạ,thank
Thank you nhiều nhá 😄,thank
B. Ơi,greet
Dạ mình cảm ơn bạn,thank
Thanks b nhea,thank
Vâng mai đc ạ,agree
Um mình cảm ơn,thank
Ab b oie,greet
Dạ . Đúng rồi đó c,agree
Vâng. Bọn em sẽ xem xét :),agree
Alo b ơi ?,greet
Thank chi,thank
Dạ . V e cám ơn . ❤️,thank
Thảm xốp chứ k phải silicon ạ,disagree
K phải hằng túi c ơi.,disagree
Nó là chất liệu j ế,query_knowledge_base
alooo shop,greet
Ah k phải,disagree
"ukie thanks shop, để mình suy nghĩ thêm rùi báo shop nha",thank
Bên bạn còn ko ?,query_knowledge_base
Vô cùng cảm ơn shop!,thank
vải này nằm có mềm không,query_knowledge_base
Mẫu này c ko thích,disagree
aloalo,greet
"Cảm ơn sh nhé, để minh xem",thank
Vải là chất vải gì ạ,query_knowledge_base
Hên k phải màu hồng,disagree
K phải mastella đấy đâu ạ,disagree
hi ship,greet
Vâng cam ơn Shop nhé,thank
Vâng.ok ạ!,agree
hàng này của nước nào vậy chị?,query_knowledge_base
cái thảm chống thấm 2 mặt giá tn hả c,query_knowledge_base
"Alo, bạn ơi?",greet
Ok thanks ad,thank
^^ vâng,agree
alo e oi,greet
bạn gửi giúp mình mẫu xích đu xanh nữa cho mình chọn,query_knowledge_base
M k thích bọc da vì nóng,disagree
Không phải chậu nhựa thành cao cơ bạn ơi,disagree
ừ thì mình chưa rõ nên mới hỏi lại đó .,agree
Thế c ơi,greet
Cám ơn chị tư vấn nhew,thank
Vâng thứ hai cũng dc ạ,agree
Mình đặt 1 ghế ăn dặm,query_knowledge_base
Dạ rồi ukj c,agree
cái xích đu bn b,query_knowledge_base
bên bạn có gh  ăn dặm của umo và hanbe i ko,query_knowledge_base
Alo m,greet
Cám ơn shop đã báo giá nhé!,thank
Ad ko phải loại đó,disagree
Shop ơi chatbot à,ask_is_bot
đúng rồi mình nhầm,agree
Uki cảm ơn nhé,thank
Bot hay ng?,ask_is_bot
la bot hay ng the?,ask_is_bot
Auto rep à shop?,ask_is_bot
Vâng ạ :x,agree
Alo cau oi,greet
B ơi cho m hỏi giá sp này ạ,query_knowledge_base
c Thủy ơi,greet
K phai hộp. Ma la cái xe m mua í shop ạ,disagree
Oki cảm ơn shop! Sang tháng về HN m sẽ đặt sau,thank
"Dạ,Thanks c ạ",thank
Alo dm,greet
Vâng vậy mai e qua,agree
Mình muốn nó đung đưa chứ ko thích dùng cái rung bần bật đâu,disagree
alo ban oi,greet
Chatbot hay nguoi?,ask_is_bot
Alooooo b ơi,greet
Vâng bạn.,agree
Alo ahop,greet
:)) uh mình cug nghĩ thê,agree
Tớ cảm ơn cậu,thank
và máy do nước nào sản xuất vậy,query_knowledge_base
Bí ngô ơi ấy lại cho t 1 kệ bỉm sữa luôn,query_knowledge_base
Vâng thế cg đc ạ,agree
chatbot hay nhân viên?,ask_is_bot
Mình ko thích rung cũng ko thích nhạc,disagree
ủ cháo của nước nào thế bạn ơi,query_knowledge_base
Loại quây chữ nhật í,query_knowledge_base
Alooo b ơi,greet
Ok mh cảm ơn ạ,thank
bạn ơi thanh chắn giường umo ask about size 2m2 bn th  bạn,query_knowledge_base
chắc lấy size M,query_knowledge_base
"Thôi chi ko đoi nữa , cảm ơn em",thank
Đúng rổi,agree
Chog mình ko thích chấm bi vì bé là trai,disagree
auto rep a shop,ask_is_bot
"thanks bạn, để mình xem tình hình có gì sẽ liên hệ lại sau nhé",thank
Vâng để em tham khảo rồi báo chị,agree
Ah cái thảm 2 mặt nếu mua thêm thì giá riêng tn bạn,query_knowledge_base
"Vâng a, khổ thân shop quá, khổ thân cả e :(",agree
Cám ơn m nhé,thank
Thanks nang,thank
gh  còn màu gì vậy shop,query_knowledge_base
C Ơi,greet
Uk đúng rồi,agree
xe tập đi tròn ấy b,query_knowledge_base
Vâng vậy cũng đc ah,agree
Vạy ak. Cám ơn ak,thank
Ok càm ơn bạn,thank
"Ok, thanks shop hỗ trợ",thank
Vâng c cứ ship qua em nhé,agree
K phải thanh treo vòng tròn ay,disagree
Aloooooo,greet
Alo Shop ui,greet
Gui hinh minh coi voi,query_knowledge_base
ừa cậu ạ,agree
Em ơi em,greet
B ơi ?,greet
"Vâng , okie b. Có j mình sẽ mua ủng hộ shop tiếp",agree
Vâng a. Tks c ạ,agree
Dạ ok e cảm ơn ạh,thank
